Product Name,Benefits of this Product
Gasowel Plus Syrup,"Treatment of AcidityGasowel Plus Syrup relieves excessive acidity in your stomach which prevents heartburn and indigestion. Usually, it is used along with other medicines for management of your condition. Continue taking it for as long as the doctor may advise you to. You need to take this medicine regularly to get the most out of it. Take a fiber-rich diet, avoid oily or spicy food and drink plenty of fluids while taking it to make sure you stay hydrated.Treatment of HeartburnHeartburn is a burning feeling in your chest caused by stomach acids travelling back up towards your throat and mouth (acid reflux). Gasowel Plus Syrup improves the movement of food in the stomach and helps prevent heartburn.You should take it exactly as it is prescribed or as it says on the label for it to be effective. Some simple lifestyle changes can help stop or reduce heartburn. Think about what foods trigger heartburn and try to avoid them; eat smaller, more frequent meals; try to lose weight if you are overweight and try to find ways to relax. Do not eat within 3 to 4 hours of going to bed.Treatment of Stomach ulcersStomach ulcers are painful sores that develop in the inner lining of the stomach or gut (intestine). Gasowel Plus Syrup reduces the amount of acid your stomach makes which prevents further damage to the ulcer as it heals naturally. You may be given other medicines along with this medicine depending on what caused the ulcer. You need to keep taking Gasowel Plus Syrup as prescribed by the doctor for it to be effective, even if the symptoms seem to disappear."
Biovac Typhoid 25mcg Injection,"Prevention of Typhoid feverTyphoid fever is an infection that spreads through intake of contaminated food and water. Biovac Typhoid 25mcg Injection is a typhoid vaccine recommended for the prevention of typhoid fever.  Biovac Typhoid 25mcg Injection works by causing the body to produce its own protection (antibodies) against the bacteria. This vaccine is generally recommended for individuals who are traveling to areas where typhoid fever is common. However, while traveling, it is important that you avoid contaminated food or water. Biovac Typhoid 25mcg Injection is given as an injection into a muscle by a doctor or a nurse, as a single dose, approximately 2 weeks before travelling to such an area where typhoid fever is common."
Vildep 50mg Tablet,"Treatment of Type 2 diabetes mellitusVildep 50mg Tablet belongs to a group of medicines called DPP-4 inhibitors. It works by helping to increase the amount of insulin your body produces after a meal and to stop your body from releasing too much glucose (sugar) into your blood. This way it lowers the blood glucose levels in your body. This medicine is usually taken once a day and has relatively few common side effects.Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems, and loss of limbs. Proper control of diabetes can also reduce the risk of heart disease and stroke. Taking this medicine regularly along with a proper program of diet and exercise will help you live a normal, healthy life. You should keep using it for as long as it is prescribed because it is protecting your future health."
Tinpax CR 12.5 Tablet,"Treatment of DepressionTinpax CR 12.5 Tablet works by increasing the level of a chemical called serotonin in the brain. This improves your mood, relieves anxiety, tension, and helps you sleep better. It has fewer side effects than older antidepressants. It usually takes 4-6 weeks for this medicine to work so you need to keep taking it even if you feel it is not working. Do not stop taking it, even if you feel better unless your doctor advises you to.Treatment of Panic disorderTinpax CR 12.5 Tablet can help relieve symptoms of many panic disorders including panic attacks. It can help you feel calmer and improve your ability to deal with problems. Do not stop taking it, even when you feel better, unless your doctor advises you to.Treatment of Anxiety disorderTinpax CR 12.5 Tablet helps relieve symptoms of many anxiety disorders including obsessive-compulsive disorder and generalized anxiety disorder by increasing the level of a chemical called serotonin in your brain. It has fewer side effects than older antidepressants and is normally taken once a day. It helps you feel calm with a better ability to deal with problems. Exercise and a healthy diet can also improve your mood. Keep taking the medicine until your doctor advises you to stop."
Wokex 4FD 225 mg/150 mg Tablet,"Treatment of Tuberculosis (TB)Wokex 4FD 225 mg/150 mg Tablet is a combination of medicines that is used to treat tuberculosis, an infectious disease that mainly affects the lungs but can affect other parts of the body as well. It kills as well as stops the growth of infection causing bacteria and helps in treating the infection. Take it in the dose and duration advised by the doctor. Your symptoms may improve before the infection is completely cured. Do not stop taking it without consulting your doctor as doing so may cause the infection to return or worsen. Follow your doctors instructions carefully to get maximum benefit."
Polybion Injection 2ml,"Treatment of Nutritional deficienciesPolybion Injection 2ml is a nutritional supplement that is given as an injection by a doctor or nurse. It contains various vitamins that help in strengthening the immune system, improve metabolism of the body, and are important for proper functioning of the nervous system. They also help in the formation of red blood cells and enhance the absorption of iron in the body. Take it in the exact dose and duration as prescribed by your doctor for maximum benefits."
Glinate 60 Tablet,"Treatment of Type 2 diabetes mellitusGlinate 60 Tablet increases the amount of insulin your body produces (in the pancreas). The insulin then works to lower your blood glucose levels and prevents them from rising after taking meals. You should keep taking it for as long as it is prescribed.Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems, and loss of limbs. Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life."
Esketo Tablet,"Treatment of Chronic kidney diseaseChronic kidney disease (CKD) refers to the loss of normal kidney function over a long span of time. CKD progresses gradually over a few years but may become permanent if left untreated. Esketo Tablet is a combination of essential amino acids which when combined with a low or very low protein diet slows down the progression of CKD and improves the quality of life. It also helps in the elimination of toxic materials such as urea from the kidneys and improves kidney function. However, you must follow your doctors instructions carefully and take it as advised to get maximum benefit."
Hytor 20mg Tablet,Treatment of High cholesterolHytor 20mg Tablet belongs to a group of medicines called statins. It works by reducing the amount of bad cholesterol (LDL) and raising the amount of good cholesterol (HDL) in your blood. Lowering the amount of cholesterol reduces the chances of heart diseases and helps you remain healthier for longer.Take it regularly and make appropriate lifestyle changes (such as eating healthy and staying active) to maximize the effectiveness of this medicine. Keep taking it even if you feel well.Prevention of heart attack and strokeHigh levels of cholesterol can cause your blood vessels to narrow (atherosclerosis) and put you at risk of having a stroke or heart disease. Lowering the amount of this fat reduces the chances of this happening and helps you remain healthier for longer. Keep taking this medicine even if you feel well.
Locet 5mg Tablet,"Treatment of Allergic conditionsLocet 5mg Tablet provides relief from symptoms such as blocked or runny nose, sneezing, and itchy or watery eyes. This will make it easier for you to go about your daily activities. It can also give relief from allergic reactions after insect bites and symptoms of hives and eczema such as rash, swelling, itching, and irritation.  This will improve the appearance of your skin and you may find that your mood and self-confidence improve as well. It rarely has any serious side effects and you may only need to take it on days you have symptoms. If you are taking it to prevent getting symptoms you should use it regularly to get the most benefit."
Ocusoothe Duo Eye Drop,"Treatment of Dry eyesNormally your eyes produce enough natural tears to help them move easily and comfortably and to remove dust and other particles. If they do not produce enough tears, they can become dry, red, and painful. Dry eyes can be caused by wind, sun, heating, computer use, and some medications. Ocusoothe Duo Eye Drop keeps your eyes lubricated and can relieve any dryness and pain. This medicine is safe to use with few side effects. If you wear soft contact lenses, you should remove them before applying the drops."
LEVITERACETAM 500 MG TABLET,"Treatment of Epilepsy/SeizuresLEVITERACETAM 500 MG TABLET belongs to a group of medicines called anticonvulsants (or anti-epileptics). It works by slowing down electrical signals in the brain which cause seizures (fits). This medicine can be used to control various types of seizuresmyoclonic, partial-onset, and primary generalized tonic-clonic (or grand mal). It can also help reduce symptoms such as confusion, uncontrollable jerking movements, loss of awareness, and fear or anxiety. The medicine can allow you to do some activities that you would otherwise be forbidden or scared to do (such as swimming and driving). It can take a few weeks for this medicine to work (because the dose has to be increased slowly) and during this time you may still have seizures. You should continue taking it even if you feel well and are not having any seizures. Missing doses may trigger a seizure. Do not stop using this medicine until your doctor advises you."
Atorbest 10 Tablet,High cholesterolAtorbest 10 Tablet belongs to a group of medicines called statins. It works by reducing the amount of bad cholesterol (LDL) and raising the amount of good cholesterol (HDL) in your blood. Lowering the amount of cholesterol reduces the chances of heart diseases and helps you remain healthier for longer.Take it regularly and make appropriate lifestyle changes (such as eating healthy and staying active) to maximize the effectiveness of this medicine. Keep taking it even if you feel well.Prevention of Heart attackHigh levels of cholesterol can cause your blood vessels to narrow (atherosclerosis) and put you at risk of having a stroke or heart disease. Lowering the amount of this fat reduces the chances of this happening and helps you remain healthier for longer. Keep taking this medicine even if you feel well.
Kimitrip 12.5mg/5mg Tablet,"Treatment of DepressionKimitrip 12.5mg/5mg Tablet works by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieve anxiety and tension, helps you sleep better, and increase your energy level. It is an effective antidepressant but may cause drowsiness. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly."
Adnin-B Gel,AcneAdnin-B Gel helps treat acne by reducing the production of excessive oil in the skin. This helps keep your pores open and prevent further acne breakouts. It helps reduce redness and swelling around acne and promotes healing. It also helps reduce acne blemishes and gives you a smoother-looking skin. Adnin-B Gel usually takes a few weeks to have a noticeable effect so keep using it even if it appears not to be working. This medicine will help improve your mood and uplift your confidence as acne reduces.
Ismolong 30mg Tablet SR,"Prevention of Angina (heart-related chest pain)Ismolong 30mg Tablet SR reduces your risk of getting heart-related chest pain (angina attack). It does not treat an angina attack that has already begun and should not be used for this purpose. It works by relaxing and widening blood vessels in the heart. This makes it easier for blood to flow to the heart, so it gets more oxygen. This medicine thus helps to increase your ability to exercise and go about your daily life more easily and confidently. It should be taken regularly to be effective."
Aceclomac Plus 100 mg/500 mg Tablet,"Pain reliefAceclomac Plus 100 mg/500 mg Tablet is used for short-term relief of pain, inflammation, and swelling in conditions that affect joints and muscles. Some of the conditions in which Aceclomac Plus 100 mg/500 mg Tablet is used are rheumatoid arthritis, osteoarthritis, muscle pain, back pain, toothache, or pain in the ear and throat. Take it as it is prescribed to get the most benefit. Do not take more or longer than needed as that can be dangerous. In general, you should take the lowest dose that works, for the shortest possible time. This will help you to go about your daily activities more easily and have a better, more active, quality of life."
Neodol K 50mg Tablet,"Pain reliefNeodol K 50mg Tablet belongs to a group of medicines called nonsteroidal anti-inflammatory drugs (NSAIDs). It is used for short-term relief of pain, inflammation, and swelling in conditions that affect joints and muscles. It works by blocking chemical messengers in the brain that tell us we have pain. It can help relieve pain in conditions like rheumatoid arthritis and osteoarthritis.Take it as it is prescribed to get the most benefit. Do not take more or longer than needed as that can be dangerous. In general, you should take the lowest dose that works, for the shortest possible time. This will help you to go about your daily activities more easily and have a better, more active, quality of life."
Uriset 40mg Tablet,"Treatment of GoutUriset 40mg Tablet is used to prevent and treat gout. Gout is caused by too much uric acid in your body. When the level becomes too high, crystals may form in and around certain joints and your kidneys. This can cause sudden and severe pain, redness, warmth, and swelling. This medicine works by preventing crystals from forming and reducing the levels of uric acid in your blood. This makes it less likely that you will suffer the symptoms and make them milder if you do have them. It is usually for long-term treatment and should be taken regularly until the dose is completed."
Zedonac-MR Novo Tablet,"Treatment of Pain due to muscle spasmZedonac-MR Novo Tablet is a combination medicine that is used to relieve pain, inflammation, and swelling in conditions that affect muscles. Also, it effectively relieves muscle stiffness or spasm, thereby improving muscle movement. It works by blocking chemical messengers in the brain that tell us we have pain.Take it as it is prescribed to get the most benefit. Do not take more or longer than needed as that can be dangerous. In general, you should take the lowest dose that works, for the shortest possible time. This will help you to go about your daily activities more easily and have a better, more active, quality of life."
Azpar-SP Tablet,"Pain reliefAzpar-SP Tablet is a combination medicine used for short-term relief of pain, inflammation, and swelling in conditions affecting joints and muscles. It works by blocking chemical messengers in the brain that tell us we have pain. It can help relieve pain in conditions like rheumatoid arthritis and osteoarthritis. Along with painkillers, this medicine also contains an active ingredient called Serratiopeptidase, which is an enzyme that promotes the overall healing process and speeds up recovery.Take it as it is prescribed to get the most benefit. Do not take more or longer than needed as that can be dangerous. In general, you should take the lowest dose that works, for the shortest possible time. This will help you to go about your daily activities more easily and have a better, more active, quality of life."
Lipigo A 10mg/75mg Capsule,"Treatment of Prevention of heart attack and strokeLipigo A 10mg/75mg Capsule is a combination medicine that is used to prevent heart attack. It contains rosuvastatin that works by reducing the amount of bad cholesterol (LDL) and raising the amount of good cholesterol (HDL) in blood. High levels of cholesterol can cause narrowing of the blood vessels (atherosclerosis). Lowering the amount of cholesterol reduces the chances of heart diseases and stroke and helps one remain healthier for longer. Lipigo A 10mg/75mg Capsule also contains a blood thinner, aspirin, that prevents the formation of blood clots and the existing ones from growing bigger in size. Take it regularly and make appropriate lifestyle changes (such as eating healthy and staying active) to maximize the effectiveness of this medicine. Keep taking it even if you feel well."
Wayflam SP 100mg/325mg/15mg Tablet,"Pain reliefWayflam SP 100mg/325mg/15mg Tablet is a combination medicine used for short-term relief of pain, inflammation, and swelling in conditions affecting joints and muscles. It works by blocking chemical messengers in the brain that tell us we have pain. It can help relieve pain in conditions like rheumatoid arthritis and osteoarthritis. Along with painkillers, this medicine also contains an active ingredient called Serratiopeptidase, which is an enzyme that promotes the overall healing process and speeds up recovery.Take it as it is prescribed to get the most benefit. Do not take more or longer than needed as that can be dangerous. In general, you should take the lowest dose that works, for the shortest possible time. This will help you to go about your daily activities more easily and have a better, more active, quality of life."
Hopicox-MR Tablet,"Treatment of Pain due to muscle spasmHopicox-MR Tablet is a combination medicine that contains a painkiller as well as a muscle relaxant. It is used to relieve pain, inflammation, and swelling in conditions that affect muscles. Also, it effectively relieves muscle stiffness or spasm, thereby improving muscle movement. It works by blocking chemical messengers in the brain that tell us we have pain.Take it as it is prescribed to get the most benefit. Do not take more or for longer than needed as that can be dangerous. In general, you should take the lowest dose that works, for the shortest possible time. This will help you to go about your daily activities more easily and have a better, more active, quality of life."
Benzo Beta Tablet,"Treatment of Anxiety disorderBenzo Beta Tablet stops your brain from releasing the chemicals that make you feel anxious so it can reduce the symptoms of excessive anxiety and worry. It can also reduce feelings of restlessness, tiredness, difficulty concentrating, feeling irritable and sleep problems that often come with Generalised Anxiety Disorder. Benzo Beta Tablet will therefore help you go about your daily activities more easily and be more productive. Keep taking this medicine even if you feel well. Stopping suddenly can cause serious problems."
Lulican Cream,"Treatment of Fungal skin infectionsLulican Cream is an antifungal medicine. It kills and prevents the growth of fungus. This relieves the symptoms caused by the infection. It may be used to treat infections such as athletes foot, Dhobie Itch, thrush, ringworm, and dry, flaky skin. You should keep using it for as long as it is prescribed even if your symptoms have gone. This will prevent the infection from coming back. Using this medicine as prescribed will relieve pain and itching and may help you feel more comfortable with your skin."
Fluvia 150mg Tablet,"Treatment of Fungal infectionsFluvia 150mg Tablet is an antifungal medicine. It works by killing and stopping the growth of fungi that causes the infection. It helps treat infections of the mouth, throat, vagina, and other parts of the body.The dose and duration of treatment will depend on what you are being treated for. Make sure you complete the full course of treatment. This will ensure that the infection is completely cured and prevent it from returning."
Xylocaine Heavy 5% Injection,"Local anesthesia (Numb tissues in a specific area)Xylocaine Heavy 5% Injection is a local anesthetic. It makes the oral skin numb. It can be used to relieve pain, irritation, or itching caused by a wide variety of conditions. It is generally very safe, works quite quickly, and will reduce the discomfort that might be caused by mouth ulcers, a small cosmetic or other surgical procedure.It is also used in procedures requiring the insertion of a tube into your mouth, which can otherwise be uncomfortable and even painful. Lidocaine can be applied to the surface of the tube before it is inserted. This will both lubricate the tube and give an anesthetic effect, making the procedure more comfortable."
Udipan 40mg Tablet,"Treatment of HeartburnHeartburn and acid reflux happens when a muscle above your stomach relaxes too much and allows stomach contents and acid to come back up into your esophagus and mouth. Udipan 40mg Tablet belongs to a group of medicines called proton pump inhibitors. It reduces the amount of acid your stomach makes and relieves the pain associated with heartburn and acid reflux. You can increase the efficiency of the medicine by making certain lifestyle changes. These include avoiding foods that trigger the symptoms, eating smaller more frequent meals, losing weight if you are overweight.Treatment of Gastroesophageal reflux disease (Acid reflux)GERD is a chronic (long-term) condition that is like having heartburn consistently rather than just occasionally. It happens because a muscle above your stomach relaxes too much and allows stomach contents to come back up into your esophagus and mouth. Udipan 40mg Tablet belongs to a group of medicines called proton pump inhibitors. It reduces the amount of acid your stomach makes and relieves the pain associated with heartburn and acid reflux. You should take it exactly as it is prescribed for it to be effective.Some simple lifestyle changes can help reduce the symptoms of GERD. Think about what foods trigger heartburn and try to avoid them; eat smaller more frequent meals; try to lose weight if you are overweight and try to find ways to relax. Do not eat within 3-4 hours of going to bed.Treatment of Peptic ulcer diseaseUdipan 40mg Tablet belongs to a group of medicines called proton pump inhibitors. It reduces the amount of acid your stomach makes which prevents further damage to the ulcer as it heals naturally. You may be given other medicines along with this medicine depending on what caused the ulcer. You need to keep taking the medicine as it is prescribed for it to be effective, even if the symptoms seem to disappear.Treatment of Zollinger-Ellison syndromeZollinger-Ellison syndrome is a rare disorder where excessive stomach acid production leads to multiple peptic ulcers. Symptoms include abdominal pain, diarrhea, and heartburn. Udipan 40mg Tablet By reducing the production of stomach acid, it helps alleviate symptoms such as abdominal pain, heartburn, and diarrhea. Esomeprazole also aids in the healing of peptic ulcers, which are common in this condition. By controlling the excessive acid secretion associated with Zollinger-Ellison syndrome, esomeprazole helps improve the overall digestive health and prevents complications such as gastrointestinal bleeding."
Vildaryl-M 1000 Tablet,"Treatment of Type 2 diabetes mellitusVildaryl-M 1000 Tablet is a combination of two medicines that work together in different ways to lower your blood glucose levels. Lowering blood glucose levels is an essential part of managing diabetes. If you can control your blood glucose level, your risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems, and loss of limbs is also lowered. Additionally, proper control of diabetes can also reduce the risk of heart disease and stroke. Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life. You should keep using this medicine for as long as it is prescribed because it is protecting your future health."
Eltocin 125mg Suspension,"Treatment of PertussisPertussis is a highly contagious respiratory tract infection that can be life-threatening for infants. It is marked by a severe hacking cough followed by a high-pitched intake of breath that sounds like ""whoop"". It is easily preventable by vaccine, but Eltocin 125mg Suspension is given if a child develops the infection.Treatment of DiphtheriaIt is a serious infection of the nose and throat in which a layer of thick, grey matter covers the back of the throat, making breathing hard. It is easily preventable by vaccine, but Eltocin 125mg Suspension is given if a child develops the infection.Treatment of Bacterial infectionsEltocin 125mg Suspension is an antibiotic medicine which can be used to treat many different infections caused by bacteria. These include infections of the ear, nose, throat, lungs and skin. It stops the growth of the bacteria causing the infection and clears the infection. Take it for as long as prescribed by the doctor and avoid skipping doses. This will make sure that all bacteria are killed and they do not become resistant."
Gasogen Syrup,"AcidityGasogen Syrup relieves excessive acidity in your stomach which prevents heartburn and indigestion. Usually, it is used along with other medicines for management of your condition. Continue taking it for as long as the doctor may advise you to. You need to take this medicine regularly to get the most out of it. Take a fiber-rich diet, avoid oily or spicy food and drink plenty of fluids while taking it to make sure you stay hydrated.Stomach ulcersStomach ulcers are painful sores that develop in the inner lining of the stomach or gut (intestine). Gasogen Syrup reduces the amount of acid your stomach makes which prevents further damage to the ulcer as it heals naturally. You may be given other medicines along with this medicine depending on what caused the ulcer. You need to keep taking Gasogen Syrup as prescribed by the doctor for it to be effective, even if the symptoms seem to disappear.BloatingBloating refers to excessive buildup of gas in our stomach due to abnormal muscle movement in our stomach and intestines. Gasogen Syrup improves the movement of food in the stomach and helps prevent bloating.You should take it exactly as it is prescribed for it to be effective. Some simple lifestyle changes can help stop or reduce bloating. Eat healthy, avoid spicy or oily food, exercise daily for at least 30 minutes and do not overeat."
Zaptra 12.5mg/0.25mg Capsule,"DepressionZaptra 12.5mg/0.25mg Capsule works by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieve anxiety and tension, helps you sleep better, and increase your energy level. It is an effective antidepressant but may cause drowsiness. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly."
Alerg Total 75mg/5mg/10mg Tablet,"Treatment of Respiratory tract disorders associated with viscid mucusAlerg Total 75mg/5mg/10mg Tablet helps loosen thick mucus, making it easier to cough out. This makes it easier for the air to move in and out. This medicine relieves symptoms, such as tightness in chest, shortness of breath, wheezing, and coughing, and helps you carry out daily activities more easily. This medicine is safe and effective. It usually starts to work within a few minutes and the effects can last up to several hours. Take it as prescribed by the doctor, and do not stop using it unless you are advised otherwise. Taking this medicine enables one to live their life more freely without worrying so much about the things that set off your symptoms."
Qutax S 1000mg/500mg Injection,"Treatment of Bacterial infectionsQutax S 1000mg/500mg Injection is used to treat bacterial infections like pneumonia, bronchitis, gonorrhea, meningitis, and severe infections of the kidney, urinary system, bones, joints, and skin. It may also be used before surgery, and during and after a cesarean section, in order to prevent the patient from getting an infection. It stops the growth of bacteria causing infection. This further reduces the discomforts associated with various infections and helps in early recovery."
Emkool D 30mg/20mg Capsule SR,"Treatment of Gastroesophageal reflux disease (Acid reflux)Gastroesophageal reflux disease (GERD) is a chronic (long-term) condition in which there is an excess production of acid in the stomach. Emkool D 30mg/20mg Capsule SR reduces the amount of acid your stomach makes and relieves the pain associated with heartburn and acid reflux. You should take it exactly as it is prescribed for it to be effective. Some simple lifestyle changes can help reduce the symptoms of GERD. Think about what foods trigger heartburn and try to avoid them; eat smaller, more frequent meals; try to lose weight if you are overweight and try to find ways to relax. Do not eat within 3-4 hours of going to bed.Treatment of Peptic ulcer diseasePeptic ulcer disease is a condition in which painful sores or ulcers develop in the inner lining of the stomach or gut (intestine). Emkool D 30mg/20mg Capsule SR reduces the amount of acid your stomach makes which prevents further damage to the ulcer as it heals naturally. You may be given other medicines along with this medicine depending on what caused the ulcer. You need to keep taking the medicine as it is prescribed for it to be effective, even if the symptoms seem to disappear."
Vigoquin-T Eye Drop,"Treatment of Bacterial eye infectionsVigoquin-T Eye Drop is an antibiotic medicine that stops the growth of the bacteria causing the infection. It helps relieve symptoms such as pain, redness, itching or soreness caused due to eye infections. The dose and duration of treatment will be decided by your doctor based on your condition. Make sure you complete the full course of treatment. This will ensure that the infection is completely cured and prevent it from returning."
